country,week,category,weekly_rank,show_title,season_title
US,11/14/2021,Films (English),1,Red Notice,N/A
US,11/14/2021,Films (English),2,Love Hard,N/A
US,11/14/2021,Films (English),3,The Harder They Fall,N/A
US,11/14/2021,Films (English),4,21 Jump Street,N/A
US,11/14/2021,Films (English),5,Passing,N/A
US,11/14/2021,Films (English),6,Father Christmas Is Back,N/A
US,11/14/2021,Films (English),7,Army of Thieves,N/A
US,11/14/2021,Films (English),8,Seized,N/A
US,11/14/2021,Films (English),9,American Gangster,N/A
US,11/14/2021,Films (English),10,The Holiday,N/A
US,11/14/2021,TV (English),1,Narcos: Mexico,Narcos: Mexico: Season 3
US,11/14/2021,TV (English),2,Big Mouth,Big Mouth: Season 5
US,11/14/2021,TV (English),3,You,You: Season 3
US,11/14/2021,TV (English),4,Squid Game,Squid Game: Season 1
US,11/14/2021,TV (English),5,Maid,Maid: Limited Series
US,11/14/2021,TV (English),6,The Thundermans,The Thundermans: Season 1
US,11/14/2021,TV (English),7,CoComelon,CoComelon: Season 4
US,11/14/2021,TV (English),8,The Thundermans,The Thundermans: Season 2
US,11/14/2021,TV (English),9,60 Days In,60 Days In: Season 6
US,11/14/2021,TV (English),10,Arcane,Arcane: Season 1
US,11/7/2021,Films (English),1,The Harder They Fall,N/A
US,11/7/2021,Films (English),2,Army of Thieves,N/A
US,11/7/2021,Films (English),3,21 Jump Street,N/A
US,11/7/2021,Films (English),4,Love Hard,N/A
US,11/7/2021,Films (English),5,American Gangster,N/A
US,11/7/2021,Films (English),6,Replicas,N/A
US,11/7/2021,Films (English),7,King Arthur: Legend of the Sword,N/A
US,11/7/2021,Films (English),8,The General's Daughter,N/A
US,11/7/2021,Films (English),9,Army of the Dead,N/A
US,11/7/2021,Films (English),10,Hypnotic,N/A
US,11/7/2021,TV (English),1,You,You: Season 3
US,11/7/2021,TV (English),2,Squid Game,Squid Game: Season 1
US,11/7/2021,TV (English),3,Maid,Maid: Limited Series
US,11/7/2021,TV (English),4,Narcos: Mexico,Narcos: Mexico: Season 3
US,11/7/2021,TV (English),5,Big Mouth,Big Mouth: Season 5
US,11/7/2021,TV (English),6,Colin in Black & White,Colin in Black & White: Limited Series
US,11/7/2021,TV (English),7,Locke & Key,Locke & Key: Season 2
US,11/7/2021,TV (English),8,CoComelon,CoComelon: Season 4
US,11/7/2021,TV (English),9,Riverdale,Riverdale: Season 5
US,11/7/2021,TV (English),10,The Thundermans,The Thundermans: Season 1
US,10/31/2021,Films (English),1,Army of Thieves,N/A
US,10/31/2021,Films (English),2,King Arthur: Legend of the Sword,N/A
US,10/31/2021,Films (English),3,Hypnotic,N/A
US,10/31/2021,Films (English),4,Night Teeth,N/A
US,10/31/2021,Films (English),5,Titanic,N/A
US,10/31/2021,Films (English),6,Going in Style,N/A
US,10/31/2021,Films (English),7,Hubie Halloween,N/A
US,10/31/2021,Films (English),8,The Forgotten Battle,N/A
US,10/31/2021,Films (English),9,The Holiday,N/A
US,10/31/2021,Films (English),10,Home,N/A
US,10/31/2021,TV (English),1,You,You: Season 3
US,10/31/2021,TV (English),2,Squid Game,Squid Game: Season 1
US,10/31/2021,TV (English),3,Maid,Maid: Limited Series
US,10/31/2021,TV (English),4,Locke & Key,Locke & Key: Season 2
US,10/31/2021,TV (English),5,Riverdale,Riverdale: Season 5
US,10/31/2021,TV (English),6,Maya and the Three,Maya and the Three: Limited Series
US,10/31/2021,TV (English),7,Shameless (U.S.),Shameless (U.S.): Season 11
US,10/31/2021,TV (English),8,You,You: Season 1
US,10/31/2021,TV (English),9,You,You: Season 2
US,10/31/2021,TV (English),10,Inside Job,Inside Job: Part 1
US,10/24/2021,Films (English),1,Night Teeth,N/A
US,10/24/2021,Films (English),2,The Forgotten Battle,N/A
US,10/24/2021,Films (English),3,Going in Style,N/A
US,10/24/2021,Films (English),4,Titanic,N/A
US,10/24/2021,Films (English),5,Apocalypse Now Redux,N/A
US,10/24/2021,Films (English),6,The Trip,N/A
US,10/24/2021,Films (English),7,My Little Pony: A New Generation,N/A
US,10/24/2021,Films (English),8,Reprisal,N/A
US,10/24/2021,Films (English),9,Scary Movie 4,N/A
US,10/24/2021,Films (English),10,The Holiday,N/A
US,10/24/2021,TV (English),1,You,You: Season 3
US,10/24/2021,TV (English),2,Squid Game,Squid Game: Season 1
US,10/24/2021,TV (English),3,Maid,Maid: Limited Series
US,10/24/2021,TV (English),4,Shameless (U.S.),Shameless (U.S.): Season 11
US,10/24/2021,TV (English),5,You,You: Season 1
US,10/24/2021,TV (English),6,Riverdale,Riverdale: Season 5
US,10/24/2021,TV (English),7,You,You: Season 2
US,10/24/2021,TV (English),8,In the Dark,In the Dark: Season 3
US,10/24/2021,TV (English),9,Locke & Key,Locke & Key: Season 2
US,10/24/2021,TV (English),10,My Name,My Name: Season 1
US,10/17/2021,Films (English),1,Going in Style,N/A
US,10/17/2021,Films (English),2,Titanic,N/A
US,10/17/2021,Films (English),3,The Forgotten Battle,N/A
US,10/17/2021,Films (English),4,The Guilty,N/A
US,10/17/2021,Films (English),5,Something Borrowed,N/A
US,10/17/2021,Films (English),6,My Little Pony: A New Generation,N/A
US,10/17/2021,Films (English),7,The Karate Kid,N/A
US,10/17/2021,Films (English),8,Jumanji,N/A
US,10/17/2021,Films (English),9,The Holiday,N/A
US,10/17/2021,Films (English),10,Gladiator,N/A
US,10/17/2021,TV (English),1,Squid Game,Squid Game: Season 1
US,10/17/2021,TV (English),2,You,You: Season 3
US,10/17/2021,TV (English),3,Maid,Maid: Limited Series
US,10/17/2021,TV (English),4,Shameless (U.S.),Shameless (U.S.): Season 11
US,10/17/2021,TV (English),5,The Blacklist,The Blacklist: Season 8
US,10/17/2021,TV (English),6,The Five Juanas,The Five Juanas: Season 1
US,10/17/2021,TV (English),7,On My Block,On My Block: Season 4
US,10/17/2021,TV (English),8,Midnight Mass,Midnight Mass: Limited Series
US,10/17/2021,TV (English),9,Dave Chappelle: The Closer,N/A
US,10/17/2021,TV (English),10,You,You: Season 1
US,10/10/2021,Films (English),1,The Guilty,N/A
US,10/10/2021,Films (English),2,Titanic,N/A
US,10/10/2021,Films (English),3,There's Someone Inside Your House,N/A
US,10/10/2021,Films (English),4,The DUFF,N/A
US,10/10/2021,Films (English),5,My Little Pony: A New Generation,N/A
US,10/10/2021,Films (English),6,Gladiator,N/A
US,10/10/2021,Films (English),7,Step Brothers,N/A
US,10/10/2021,Films (English),8,Something Borrowed,N/A
US,10/10/2021,Films (English),9,The Karate Kid,N/A
US,10/10/2021,Films (English),10,The Holiday,N/A
US,10/10/2021,TV (English),1,Squid Game,Squid Game: Season 1
US,10/10/2021,TV (English),2,Maid,Maid: Limited Series
US,10/10/2021,TV (English),3,On My Block,On My Block: Season 4
US,10/10/2021,TV (English),4,Midnight Mass,Midnight Mass: Limited Series
US,10/10/2021,TV (English),5,Dave Chappelle: The Closer,N/A
US,10/10/2021,TV (English),6,The Blacklist,The Blacklist: Season 8
US,10/10/2021,TV (English),7,The Five Juanas,The Five Juanas: Season 1
US,10/10/2021,TV (English),8,CoComelon,CoComelon: Season 3
US,10/10/2021,TV (English),9,CoComelon,CoComelon: Season 1
US,10/10/2021,TV (English),10,CoComelon,CoComelon: Season 2
US,10/3/2021,Films (English),1,The Guilty,N/A
US,10/3/2021,Films (English),2,My Little Pony: A New Generation,N/A
US,10/3/2021,Films (English),3,The Starling,N/A
US,10/3/2021,Films (English),4,Britney Vs Spears,N/A
US,10/3/2021,Films (English),5,Grown Ups,N/A
US,10/3/2021,Films (English),6,No One Gets Out Alive,N/A
US,10/3/2021,Films (English),7,Intrusion,N/A
US,10/3/2021,Films (English),8,The DUFF,N/A
US,10/3/2021,Films (English),9,Vivo,N/A
US,10/3/2021,Films (English),10,Till Death,N/A
US,10/3/2021,TV (English),1,Squid Game,Squid Game: Season 1
US,10/3/2021,TV (English),2,Midnight Mass,Midnight Mass: Limited Series
US,10/3/2021,TV (English),3,Maid,Maid: Limited Series
US,10/3/2021,TV (English),4,Sex Education,Sex Education: Season 3
US,10/3/2021,TV (English),5,CoComelon,CoComelon: Season 3
US,10/3/2021,TV (English),6,CoComelon,CoComelon: Season 1
US,10/3/2021,TV (English),7,The Circle,The Circle: Season 3
US,10/3/2021,TV (English),8,Clickbait,Clickbait: Limited Series
US,10/3/2021,TV (English),9,CoComelon,CoComelon: Season 2
US,10/3/2021,TV (English),10,Lucifer,Lucifer: Season 6
US,9/26/2021,Films (English),1,Intrusion,N/A
US,9/26/2021,Films (English),2,Grown Ups,N/A
US,9/26/2021,Films (English),3,The Starling,N/A
US,9/26/2021,Films (English),4,Safe House,N/A
US,9/26/2021,Films (English),5,My Little Pony: A New Generation,N/A
US,9/26/2021,Films (English),6,The Father Who Moves Mountains,N/A
US,9/26/2021,Films (English),7,Kate,N/A
US,9/26/2021,Films (English),8,Vivo,N/A
US,9/26/2021,Films (English),9,An Unfinished Life,N/A
US,9/26/2021,Films (English),10,Nightbooks,N/A
US,9/26/2021,TV (English),1,Squid Game,Squid Game: Season 1
US,9/26/2021,TV (English),2,Sex Education,Sex Education: Season 3
US,9/26/2021,TV (English),3,Midnight Mass,Midnight Mass: Limited Series
US,9/26/2021,TV (English),4,Clickbait,Clickbait: Limited Series
US,9/26/2021,TV (English),5,Lucifer,Lucifer: Season 6
US,9/26/2021,TV (English),6,The Circle,The Circle: Season 3
US,9/26/2021,TV (English),7,Monsters Inside: The 24 Faces of Billy Milligan,Monsters Inside: The 24 Faces of Billy Milligan: Limited Series
US,9/26/2021,TV (English),8,CoComelon,CoComelon: Season 3
US,9/26/2021,TV (English),9,CoComelon,CoComelon: Season 1
US,9/26/2021,TV (English),10,CoComelon,CoComelon: Season 2
US,9/19/2021,Films (English),1,Kate,N/A
US,9/19/2021,Films (English),2,Safe House,N/A
US,9/19/2021,Films (English),3,An Unfinished Life,N/A
US,9/19/2021,Films (English),4,Prey,N/A
US,9/19/2021,Films (English),5,Nightbooks,N/A
US,9/19/2021,Films (English),6,Firedrake the Silver Dragon,N/A
US,9/19/2021,Films (English),7,Vivo,N/A
US,9/19/2021,Films (English),8,School of Rock,N/A
US,9/19/2021,Films (English),9,The Father Who Moves Mountains,N/A
US,9/19/2021,Films (English),10,Wind River,N/A
US,9/19/2021,TV (English),1,Lucifer,Lucifer: Season 6
US,9/19/2021,TV (English),2,Clickbait,Clickbait: Limited Series
US,9/19/2021,TV (English),3,Sex Education,Sex Education: Season 3
US,9/19/2021,TV (English),4,The Circle,The Circle: Season 3
US,9/19/2021,TV (English),5,Squid Game,Squid Game: Season 1
US,9/19/2021,TV (English),6,CoComelon,CoComelon: Season 3
US,9/19/2021,TV (English),7,Manifest,Manifest: Season 3
US,9/19/2021,TV (English),8,Turning Point: 9/11 and the War on Terror,Turning Point: 9/11 and the War on Terror: Season 1
US,9/19/2021,TV (English),9,CoComelon,CoComelon: Season 1
US,9/19/2021,TV (English),10,CoComelon,CoComelon: Season 2
US,9/12/2021,Films (English),1,Kate,N/A
US,9/12/2021,Films (English),2,Worth,N/A
US,9/12/2021,Films (English),3,Afterlife of the Party,N/A
US,9/12/2021,Films (English),4,An Unfinished Life,N/A
US,9/12/2021,Films (English),5,School of Rock,N/A
US,9/12/2021,Films (English),6,Wind River,N/A
US,9/12/2021,Films (English),7,Green Lantern,N/A
US,9/12/2021,Films (English),8,Vivo,N/A
US,9/12/2021,Films (English),9,Freedom Writers,N/A
US,9/12/2021,Films (English),10,A Cinderella Story,N/A
US,9/12/2021,TV (English),1,Clickbait,Clickbait: Limited Series
US,9/12/2021,TV (English),2,Turning Point: 9/11 and the War on Terror,Turning Point: 9/11 and the War on Terror: Season 1
US,9/12/2021,TV (English),3,Lucifer,Lucifer: Season 6
US,9/12/2021,TV (English),4,Money Heist,Money Heist: Part 5
US,9/12/2021,TV (English),5,Manifest,Manifest: Season 3
US,9/12/2021,TV (English),6,CoComelon,CoComelon: Season 3
US,9/12/2021,TV (English),7,Money Heist,Money Heist: Part 1
US,9/12/2021,TV (English),8,Manifest,Manifest: Season 1
US,9/12/2021,TV (English),9,The Circle,The Circle: Season 3
US,9/12/2021,TV (English),10,CoComelon,CoComelon: Season 1
US,9/5/2021,Films (English),1,He's All That,N/A
US,9/5/2021,Films (English),2,SAS: Rise of the Black Swan,N/A
US,9/5/2021,Films (English),3,Afterlife of the Party,N/A
US,9/5/2021,Films (English),4,Green Lantern,N/A
US,9/5/2021,Films (English),5,Vivo,N/A
US,9/5/2021,Films (English),6,Wind River,N/A
US,9/5/2021,Films (English),7,Sweet Girl,N/A
US,9/5/2021,Films (English),8,The November Man,N/A
US,9/5/2021,Films (English),9,"Bob Ross: Happy Accidents, Betrayal & Greed",N/A
US,9/5/2021,Films (English),10,Worth,N/A
US,9/5/2021,TV (English),1,Clickbait,Clickbait: Limited Series
US,9/5/2021,TV (English),2,Money Heist,Money Heist: Part 5
US,9/5/2021,TV (English),3,Manifest,Manifest: Season 3
US,9/5/2021,TV (English),4,Turning Point: 9/11 and the War on Terror,Turning Point: 9/11 and the War on Terror: Season 1
US,9/5/2021,TV (English),5,Manifest,Manifest: Season 1
US,9/5/2021,TV (English),6,All American,All American: Season 3
US,9/5/2021,TV (English),7,CoComelon,CoComelon: Season 3
US,9/5/2021,TV (English),8,Manifest,Manifest: Season 2
US,9/5/2021,TV (English),9,CoComelon,CoComelon: Season 1
US,9/5/2021,TV (English),10,CoComelon,CoComelon: Season 2
US,8/29/2021,Films (English),1,Sweet Girl,N/A
US,8/29/2021,Films (English),2,He's All That,N/A
US,8/29/2021,Films (English),3,SAS: Rise of the Black Swan,N/A
US,8/29/2021,Films (English),4,The Loud House Movie,N/A
US,8/29/2021,Films (English),5,Vivo,N/A
US,8/29/2021,Films (English),6,"Bob Ross: Happy Accidents, Betrayal & Greed",N/A
US,8/29/2021,Films (English),7,The Witcher: Nightmare of the Wolf,N/A
US,8/29/2021,Films (English),8,The Old Ways,N/A
US,8/29/2021,Films (English),9,The Water Man,N/A
US,8/29/2021,Films (English),10,Home,N/A
US,8/29/2021,TV (English),1,Clickbait,Clickbait: Limited Series
US,8/29/2021,TV (English),2,Manifest,Manifest: Season 3
US,8/29/2021,TV (English),3,Manifest,Manifest: Season 1
US,8/29/2021,TV (English),4,All American,All American: Season 3
US,8/29/2021,TV (English),5,Outer Banks,Outer Banks: Season 2
US,8/29/2021,TV (English),6,CoComelon,CoComelon: Season 3
US,8/29/2021,TV (English),7,Manifest,Manifest: Season 2
US,8/29/2021,TV (English),8,CoComelon,CoComelon: Season 1
US,8/29/2021,TV (English),9,The Chair,The Chair: Season 1
US,8/29/2021,TV (English),10,CoComelon,CoComelon: Season 2
US,8/22/2021,Films (English),1,Sweet Girl,N/A
US,8/22/2021,Films (English),2,Vivo,N/A
US,8/22/2021,Films (English),3,Beckett,N/A
US,8/22/2021,Films (English),4,The Kissing Booth 3,N/A
US,8/22/2021,Films (English),5,The Loud House Movie,N/A
US,8/22/2021,Films (English),6,The Vault,N/A
US,8/22/2021,Films (English),7,Black Island,N/A
US,8/22/2021,Films (English),8,Untold: Malice at the Palace,N/A
US,8/22/2021,Films (English),9,Home,N/A
US,8/22/2021,Films (English),10,Resort to Love,N/A
US,8/22/2021,TV (English),1,All American,All American: Season 3
US,8/22/2021,TV (English),2,Outer Banks,Outer Banks: Season 2
US,8/22/2021,TV (English),3,Outer Banks,Outer Banks: Season 1
US,8/22/2021,TV (English),4,Manifest,Manifest: Season 1
US,8/22/2021,TV (English),5,CoComelon,CoComelon: Season 3
US,8/22/2021,TV (English),6,Hit & Run,Hit & Run: Season 1
US,8/22/2021,TV (English),7,CoComelon,CoComelon: Season 1
US,8/22/2021,TV (English),8,Bake Squad,Bake Squad: Season 1
US,8/22/2021,TV (English),9,All American,All American: Season 1
US,8/22/2021,TV (English),10,CoComelon,CoComelon: Season 2
US,8/15/2021,Films (English),1,The Kissing Booth 3,N/A
US,8/15/2021,Films (English),2,Vivo,N/A
US,8/15/2021,Films (English),3,Beckett,N/A
US,8/15/2021,Films (English),4,The Vault,N/A
US,8/15/2021,Films (English),5,Aftermath,N/A
US,8/15/2021,Films (English),6,Untold: Malice at the Palace,N/A
US,8/15/2021,Films (English),7,The Paper Tigers,N/A
US,8/15/2021,Films (English),8,The Net,N/A
US,8/15/2021,Films (English),9,Resort to Love,N/A
US,8/15/2021,Films (English),10,Home,N/A
US,8/15/2021,TV (English),1,Outer Banks,Outer Banks: Season 2
US,8/15/2021,TV (English),2,All American,All American: Season 3
US,8/15/2021,TV (English),3,Hit & Run,Hit & Run: Season 1
US,8/15/2021,TV (English),4,Outer Banks,Outer Banks: Season 1
US,8/15/2021,TV (English),5,Cocaine Cowboys: The Kings of Miami,Cocaine Cowboys: The Kings of Miami: Limited Series
US,8/15/2021,TV (English),6,CoComelon,CoComelon: Season 3
US,8/15/2021,TV (English),7,All American,All American: Season 1
US,8/15/2021,TV (English),8,The Snitch Cartel: Origins,The Snitch Cartel: Origins: Season 1
US,8/15/2021,TV (English),9,Hunter X Hunter (2011),Hunter X Hunter (2011): Season 5
US,8/15/2021,TV (English),10,All American,All American: Season 2
US,8/8/2021,Films (English),1,The Vault,N/A
US,8/8/2021,Films (English),2,Vivo,N/A
US,8/8/2021,Films (English),3,Aftermath,N/A
US,8/8/2021,Films (English),4,Resort to Love,N/A
US,8/8/2021,Films (English),5,Five Feet Apart,N/A
US,8/8/2021,Films (English),6,Rurouni Kenshin: The Beginning,N/A
US,8/8/2021,Films (English),7,Poms,N/A
US,8/8/2021,Films (English),8,The Last Mercenary,N/A
US,8/8/2021,Films (English),9,Home,N/A
US,8/8/2021,Films (English),10,The Net,N/A
US,8/8/2021,TV (English),1,Outer Banks,Outer Banks: Season 2
US,8/8/2021,TV (English),2,All American,All American: Season 3
US,8/8/2021,TV (English),3,Outer Banks,Outer Banks: Season 1
US,8/8/2021,TV (English),4,Cocaine Cowboys: The Kings of Miami,Cocaine Cowboys: The Kings of Miami: Limited Series
US,8/8/2021,TV (English),5,Hunter X Hunter (2011),Hunter X Hunter (2011): Season 5
US,8/8/2021,TV (English),6,All American,All American: Season 1
US,8/8/2021,TV (English),7,The Walking Dead,The Walking Dead: Season 10
US,8/8/2021,TV (English),8,Hit & Run,Hit & Run: Season 1
US,8/8/2021,TV (English),9,The Flash,The Flash: Season 7
US,8/8/2021,TV (English),10,Virgin River,Virgin River: Season 3
US,8/1/2021,Films (English),1,Blood Red Sky,N/A
US,8/1/2021,Films (English),2,Resort to Love,N/A
US,8/1/2021,Films (English),3,The Last Letter From Your Lover,N/A
US,8/1/2021,Films (English),4,Twilight,N/A
US,8/1/2021,Films (English),5,The Twilight Saga: Breaking Dawn: Part 2,N/A
US,8/1/2021,Films (English),6,The Twilight Saga: New Moon,N/A
US,8/1/2021,Films (English),7,The Twilight Saga: Eclipse,N/A
US,8/1/2021,Films (English),8,The Twilight Saga: Breaking Dawn: Part 1,N/A
US,8/1/2021,Films (English),9,The Vault,N/A
US,8/1/2021,Films (English),10,Home,N/A
US,8/1/2021,TV (English),1,Outer Banks,Outer Banks: Season 2
US,8/1/2021,TV (English),2,All American,All American: Season 3
US,8/1/2021,TV (English),3,Outer Banks,Outer Banks: Season 1
US,8/1/2021,TV (English),4,The Walking Dead,The Walking Dead: Season 10
US,8/1/2021,TV (English),5,Virgin River,Virgin River: Season 3
US,8/1/2021,TV (English),6,Manifest,Manifest: Season 1
US,8/1/2021,TV (English),7,Love Is Blind,Love Is Blind: Season 1
US,8/1/2021,TV (English),8,All American,All American: Season 1
US,8/1/2021,TV (English),9,The Flash,The Flash: Season 7
US,8/1/2021,TV (English),10,Manifest,Manifest: Season 2
US,7/25/2021,Films (English),1,Twilight,N/A
US,7/25/2021,Films (English),2,The Twilight Saga: New Moon,N/A
US,7/25/2021,Films (English),3,The Twilight Saga: Eclipse,N/A
US,7/25/2021,Films (English),4,The Twilight Saga: Breaking Dawn: Part 2,N/A
US,7/25/2021,Films (English),5,Blood Red Sky,N/A
US,7/25/2021,Films (English),6,The Twilight Saga: Breaking Dawn: Part 1,N/A
US,7/25/2021,Films (English),7,Gunpowder Milkshake,N/A
US,7/25/2021,Films (English),8,Trollhunters: Rise of the Titans,N/A
US,7/25/2021,Films (English),9,Fear Street Part 3: 1666,N/A
US,7/25/2021,Films (English),10,The Last Letter From Your Lover,N/A
US,7/25/2021,TV (English),1,Virgin River,Virgin River: Season 3
US,7/25/2021,TV (English),2,Manifest,Manifest: Season 1
US,7/25/2021,TV (English),3,Never Have I Ever,Never Have I Ever: Season 2
US,7/25/2021,TV (English),4,Manifest,Manifest: Season 2
US,7/25/2021,TV (English),5,Heist,Heist: Season 1
US,7/25/2021,TV (English),6,Sex/Life,Sex/Life: Season 1
US,7/25/2021,TV (English),7,CoComelon,CoComelon: Season 3
US,7/25/2021,TV (English),8,Virgin River,Virgin River: Season 1
US,7/25/2021,TV (English),9,The Cook of Castamar,The Cook of Castamar: Season 1
US,7/25/2021,TV (English),10,Virgin River,Virgin River: Season 2
US,7/18/2021,Films (English),1,Gunpowder Milkshake,N/A
US,7/18/2021,Films (English),2,Fear Street Part 3: 1666,N/A
US,7/18/2021,Films (English),3,Twilight,N/A
US,7/18/2021,Films (English),4,Fear Street Part 2: 1978,N/A
US,7/18/2021,Films (English),5,Fear Street Part 1: 1994,N/A
US,7/18/2021,Films (English),6,The Twilight Saga: New Moon,N/A
US,7/18/2021,Films (English),7,Major Grom: Plague Doctor,N/A
US,7/18/2021,Films (English),8,The Twilight Saga: Eclipse,N/A
US,7/18/2021,Films (English),9,Mother's Day,N/A
US,7/18/2021,Films (English),10,The Twilight Saga: Breaking Dawn: Part 2,N/A
US,7/18/2021,TV (English),1,Virgin River,Virgin River: Season 3
US,7/18/2021,TV (English),2,Manifest,Manifest: Season 1
US,7/18/2021,TV (English),3,Never Have I Ever,Never Have I Ever: Season 2
US,7/18/2021,TV (English),4,Manifest,Manifest: Season 2
US,7/18/2021,TV (English),5,Sex/Life,Sex/Life: Season 1
US,7/18/2021,TV (English),6,Atypical,Atypical: Season 4
US,7/18/2021,TV (English),7,Heist,Heist: Season 1
US,7/18/2021,TV (English),8,The Cook of Castamar,The Cook of Castamar: Season 1
US,7/18/2021,TV (English),9,Virgin River,Virgin River: Season 1
US,7/18/2021,TV (English),10,CoComelon,CoComelon: Season 3
US,7/11/2021,Films (English),1,Mother's Day,N/A
US,7/11/2021,Films (English),2,Fear Street Part 1: 1994,N/A
US,7/11/2021,Films (English),3,Talladega Nights: The Ballad of Ricky Bobby,N/A
US,7/11/2021,Films (English),4,Fear Street Part 2: 1978,N/A
US,7/11/2021,Films (English),5,The Ice Road,N/A
US,7/11/2021,Films (English),6,Fatherhood,N/A
US,7/11/2021,Films (English),7,The Best of Enemies,N/A
US,7/11/2021,Films (English),8,Major Grom: Plague Doctor,N/A
US,7/11/2021,Films (English),9,Wish Dragon,N/A
US,7/11/2021,Films (English),10,The Life of David Gale,N/A
US,7/11/2021,TV (English),1,Manifest,Manifest: Season 1
US,7/11/2021,TV (English),2,Virgin River,Virgin River: Season 3
US,7/11/2021,TV (English),3,Manifest,Manifest: Season 2
US,7/11/2021,TV (English),4,Sex/Life,Sex/Life: Season 1
US,7/11/2021,TV (English),5,Too Hot to Handle,Too Hot to Handle: Season 2
US,7/11/2021,TV (English),6,CoComelon,CoComelon: Season 3
US,7/11/2021,TV (English),7,Atypical,Atypical: Season 4
US,7/11/2021,TV (English),8,Big Timber,Big Timber: Season 1
US,7/11/2021,TV (English),9,Grey's Anatomy,Grey's Anatomy: Season 17
US,7/11/2021,TV (English),10,Bureau of Magical Things,Bureau of Magical Things: Season 1
US,7/4/2021,Films (English),1,The Ice Road,N/A
US,7/4/2021,Films (English),2,Fatherhood,N/A
US,7/4/2021,Films (English),3,Fear Street Part 1: 1994,N/A
US,7/4/2021,Films (English),4,Wish Dragon,N/A
US,7/4/2021,Films (English),5,Mother's Day,N/A
US,7/4/2021,Films (English),6,Good on Paper,N/A
US,7/4/2021,Films (English),7,Home,N/A
US,7/4/2021,Films (English),8,Talladega Nights: The Ballad of Ricky Bobby,N/A
US,7/4/2021,Films (English),9,The Mitchells vs. The Machines,N/A
US,7/4/2021,Films (English),10,Dog Gone Trouble,N/A
US,7/4/2021,TV (English),1,Manifest,Manifest: Season 1
US,7/4/2021,TV (English),2,Manifest,Manifest: Season 2
US,7/4/2021,TV (English),3,Sex/Life,Sex/Life: Season 1
US,7/4/2021,TV (English),4,Too Hot to Handle,Too Hot to Handle: Season 2
US,7/4/2021,TV (English),5,The Seven Deadly Sins,The Seven Deadly Sins: Dragon's Judgement
US,7/4/2021,TV (English),6,CoComelon,CoComelon: Season 3
US,7/4/2021,TV (English),7,"Newly Rich, Newly Poor","Newly Rich, Newly Poor: Season 1"
US,7/4/2021,TV (English),8,Sweet Tooth,Sweet Tooth: Season 1
US,7/4/2021,TV (English),9,CoComelon,CoComelon: Season 1
US,7/4/2021,TV (English),10,CoComelon,CoComelon: Season 2
